Building Name,Latitude,Longitude,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Carolina,36.102313,-79.502779,A,A,A,A,A,A,A
Colonnades A,36.105929,-79.50019,A,A,A,A,A,A,A
Colonnades B,36.105919,-79.499247,A,A,A,A,A,A,A
Colonnades C,36.106701,-79.500276,A,A,A,A,A,A,A
Colonnades D,36.106716,-79.499468,A,A,A,A,A,A,A
Colonnades E,36.106439,-79.498892,A,A,A,A,A,A,A
Crest,36.107004,-79.488556,A,A,A,A,A,A,A
Danieley A,36.10564,-79.495574,A,A,A,A,A,A,A
Danieley B,36.106033,-79.495796,A,A,A,A,A,A,A
Danieley C,36.106453,-79.495985,A,A,A,A,A,A,A
Danieley D,36.107377,-79.496004,A,A,A,A,A,A,A
Danieley E,36.107518,-79.495569,A,A,A,A,A,A,A
Danieley F,36.107461,-79.495054,A,A,A,A,A,A,A
Danieley G,36.108315,-79.496588,A,A,A,A,A,A,A
Danieley H,36.108758,-79.496235,A,A,A,A,A,A,A
Danieley I,36.109156,-79.495853,A,A,A,A,A,A,A
Danieley J,36.108854,-79.495399,A,A,A,A,A,A,A
Danieley K,36.108921,-79.494897,A,A,A,A,A,A,A
Danieley L,36.107522,-79.4941,A,A,A,A,A,A,A
Danieley M,36.108824,-79.49619,A,A,A,A,A,A,A
HBB,36.10128,-79.502677,A,A,A,A,A,A,A
Millpoint,36.097578,-79.508176,A,A,A,A,A,A,A
Oaks D,36.103906,-79.509577,A,A,A,A,A,A,A
Oaks B,36.104862,-79.509114,A,A,A,A,A,A,A
Oaks C,36.104746,-79.509706,A,A,A,A,A,A,A
Oaks A,36.104916,-79.508142,A,A,A,A,A,A,A
Oaks E,36.104096,-79.508923,A,A,A,A,A,A,A
Oaks F,36.104274,-79.50802,A,A,A,A,A,A,A
Sloan,36.102423,-79.505974,A,A,A,A,A,A,A
Smith,36.102259,-79.502214,A,A,A,A,A,A,A
Virginia,36.102275,-79.505389,A,A,A,A,A,A,A
West,36.101945,-79.505342,A,A,A,A,A,A,A
